CPUs	Nodes	NodesxCPU	COLROW	Day1 Timing (sec)	Day2 Timing (sec)	TotalTime	CPU Hours/day	SBATCHexclusive	Equation using Spot Pricing	SpotCost	Equation using On Demand Pricing	OnDemandCost	compiler flag	InputData	cpuMhz	Scaling	IdealScaling	Efficiency	ComputeNode	MS Opt Pin
90	1	1x90	9x10	3153.33	2758.12	5911.45	0.821	no	$1.4/hr * 1 nodes * 1.642 hr =	$2.29 	$3.6/hr * 1 nodes * 1.642 hr =	5.911	without -march=native 	shared	2445.4	3.40	5	68.1343	HB120	no
96	1	1x96	12x8	3118.91	2813.86	5932	.82	yes	$1.4/hr * 1 nodes * 1.64 hr =	$2.31	$3.6/hr * 1 nodes * 1.64 hr =	5.90	with -march=native	shared	?	3.39	5.3333	63.6463	HB120	yes	
96	1	1x96	12x8	2470.94	2845.32	5316.26	0.734	yes	$1.4/hr * 1 nodes * 1.476 hr	$2.07 	$3.6/hr * 1 nodes * 1.476 hr	5.313	with -march=native	shared	?	3.78	5.333	71.0272	HB120	no
120	1	1x120	10x12	2829.84	2516.07	5345.91	0.742	no	$1.4/hr * 1 nodes * 1.484 hr =	$2.08 	$3.6/hr * 1 nodes * 1.484 hr =	5.34	without -march=native 	shared	2445.4	3.76	6.6666	56.5066	HB120	no
180	2	2x90	10x18	2097.37	1809.84	3907.21	0.542	no	$1.4/hr * 2 nodes * 1.08 hr =	$3.03 	$3.6/hr * 2 nodes * 1.08 hr =	7.81	with -march=native 	shared	2445.39	5.15	10	51.5422	HB120	no
180	2	2x90	10 x 18	1954.2	1773.86	3728.06	0.518	no	$1.4/hr * 2 nodes * 1.036 hr =	$2.90 	$3.6/hr * 2 nodes * 1.036 hr =	7.46	without -march=native	shared	2445.40	5.40	10	54.0190	HB120	no
180	5	5x36	10x18	1749.8	1571.5	3321.3	0.461	no	$1.4/hr * 5 nodes * .922 hr =	$6.46 	$3.6/hr * 5 nodes * .922 hr =	16.596	without -march=native 	shared	1846.52	6.06	10	60.6347	HB120	no
240	2	2x120	20x12	1856.5	1667.68	3524.18	0.4895	no	$1.4/hr * 2 nodes * .97 hr =	$2.72 	$3.6/hr * 2 nodes * .97 hr =	6.984	without -march=native 	shared	2445.40	5.71	13.333	42.8581	HB120	no
270	3	3x90	15x18	1703.19	1494.17	3197.36	0.444	no	$1.4/hr * 3 nodes * .888hr =	$3.72 	3.6/hr * 3 nodes * .888 =	9.59	with -march=native 	shared	2445.4	6.29	15	41.9901	HB120	no
288	3	3x96	16x18	1967.16	1639.55	3606.71	0.500	yes	$1.4/hr * 3 nodes * 1.0hr = 	$4.2	3.6/hr * 3 nodes * 1.0  =	10.82	with -march=native	shared	??	5.583	16	34.897	HB120	yes	
360	3	3x120	20x18	1520.29	1375.54	2895.83	0.402	no	$1.4/hr * 3 nodes * .804 =	$3.38 	3.6/hr * 3 nodes * .804 =	8.687	with -march=native 	shared	2445.39	6.95	20	34.7717	HB120	no
360	3	3x120	20x18	1512.33	1349.54	2861.87	0.397	no	$1.4/hr * 3 nodes * .795 =	$3.34 	3.6/hr * 3 nodes * .795 =	8.586	with -march=native 	shared	1846.53	7.03	20	35.1843	HB120	no
18	1	1x16	3x6	10571.2	9567.43	20138.	2.8	no	$1.4/hr * 1 nodes * 5.59 hr =	$7.83 	$3.6/hr * 1 nodes * 5.59 hr =	20.12	without -march=native 	/data	1846.5	1	1	100	HB120	no
36	1	1x36	6x6	5933.48	5230.05	11163	1.55	no	$1.4/hr * 1 nodes * 3.1 hr =	$4.34 	$3.6/hr * 1 nodes * 3.1 hr =	11.2	without -march=native 	/data	1846.5	1.80399	2	90.1983	HB120	no
36	1	1x36	6x6	5841.81	5153.47	10995.	1.52	no	$1.4/hr * 1 nodes * 3.0 hr =	$4.26 	$3.6/hr * 1 nodes * 3.0 hr =	10.8	without -march=native 	/mnt/r	1846.5	1.83157	2	91.5785	HB120	no
120	1	1x120	10x12	2781.89	2465.87	5247.	0.729	no	$1.4/hr * 1 nodes * 1.642 hr =	$2.29 	$3.6/hr * 1 nodes * 1.642 hr =	5.911	without -march=native 	/data	1846.53	3.83756	6.66	57.5635	HB120	no
120	1	1x120	10x12	3031.81	2378.64	5410.45	0.751	no	$1.4/hr * 1 nodes * 1.484 hr =	$2.08 	$3.6/hr * 1 nodes * 1.484 hr =	5.34	without -march=native 	/mnt/r	1846.53	3.72212	6.66666	55.8325	HB120	no
120	1	1x120	10x20	2691.4	2380.51	5071.91	0.704	no	$1.4/hr * 1 nodes * 1.408 hr =	1.97	$3.6/hr * 1 nodes * 1.408 =	5.07	without -march=native 	/mnt/r	1846.53	3.97065	6.66667	59.5593	HB120	no
960	8	8x120	30x32	1223.52	1126.19	2349.71	0.326	no	$1.4/hr * 8 nodes * .653 =	$7.31 	3.6/hr * 8 nodes * .653 =	18.8	with -march=native 	/data	2445.39	8.57067	53.3333	16.0700	HB120	no
960	8	8x120	30x32	1189.21	1065.73	2254.94	0.313	no	$1.4/hr * 8 nodes * .626 =	7.01	3.6/hr * 8 nodes * .626 =	18	with -march=native 	/data	1846.53	8.93088	53.3333	16.7454	HB120	no
