CPUs	Nodes	NodesxCPU	COLROW	Day1_Timing_sec	Day2_Timing_sec	TotalTime	CPU Hours/day	SBATCHexclusive	Equation using Spot Pricing	SpotCost	Equation using On Demand Pricing	OnDemandCost	compiler flag	InputData	cpuMhz	Scaling	IdealScaling	Efficiency	ComputeNode	MS_Opt_Pin
90	1	1x90	9x10	3153.33	2758.12	5911.45	0.821	no	$1.4/hr * 1 nodes * 1.642 hr =	2.29	$3.6/hr * 1 nodes * 1.642 hr =	5.911	without -march=native compiler flag	shared	2445.402	3.40671578	5	68.13431561	HB120	no
96	1	1x96	12x8	3118.91	2813.86	5932.77	0.823	yes	$1.4/hr * 1 nodes * 1.64 hr	2.29	$3.6/hr * 1 nodes * 1.64 hr	5.9	with -march=native compiler flag	shared	1846.525	3.394473408	5.333333333	63.6463764	HB120	yes
96		1x96	12x8	2470.94	2845.32	5316.26	0.738369444	yes	$1.4/hr * 1 nodes * 1.476 hr	2.07	$3.6/hr * 1 nodes * 1.476 hr	5.313	with -march=native compiler flag	shared	1846.526	3.788119844	5.333333333	71.02724707	HB120	no
120	1	1x120	10x12	2829.84	2516.07	5345.91	0.742	no	$1.4/hr * 1 nodes * 1.484 hr =	2.08	$3.6/hr * 1 nodes * 1.484 hr =	5.34	without -march=native compiler flag	shared	2445.4	3.767109809	6.666666667	56.50664714	HB120	no
180	2	2x90	10x18	2097.37	1809.84	3907.21	0.542	no	$1.4/hr * 2 nodes * 1.08 hr =	3.03	$3.6/hr * 2 nodes * 1.08 hr =	7.81	with -march=native compiler flag	shared	2445.395	5.154222578	10	51.54222578	HB120	no
180	2	2x90	10 x 18	1954.2	1773.86	3728.06	0.518	no	$1.4/hr * 2 nodes * 1.036 hr =	2.9	$3.6/hr * 2 nodes * 1.036 hr =	7.46	without -march=native compiler flag	shared	2445.405	5.401906085	10	54.01906085	HB120	no
180	5	5x36	10x18	1749.8	1571.5	3321.3	0.461	no	$1.4/hr * 5 nodes * .922 hr =	6.46	$3.6/hr * 5 nodes * .922 hr =	16.596	without -march=native compiler flag	shared	1846.529	6.063478156	10	60.63478156	HB120	no
192	2	2x95	16x12	2158.76	2024.57	4183.33	0.581018056	yes	$1.4/hr * 2 nodes * 1.162 hr =	3.25	$3.6/hr * 2 nodes * 1.162 hr =	8.3664	without -march=native compiler flag	shared	NA	4.814018975	10	60.63478156	HB120	no
240	2	2x120	20x12	1856.5	1667.68	3524.18	0.4895	no	$1.4/hr * 2 nodes * .97 hr =	2.72	$3.6/hr * 2 nodes * .97 hr =	6.984	without -march=native compiler flag	shared	2445.409	5.714415836	13.33333333	42.85811877	HB120	no
270	3	3x90	15x18	1703.19	1494.17	3197.36	0.444	no	$1.4/hr * 3 nodes * .888hr =	3.72	3.6/hr * 3 nodes * .888 =	9.59	with -march=native compiler flag	shared	2445.4	6.298518152	15	41.99012102	HB120	no
288	3	3x96	16x18	1967.16	1639.55	3606.71	0.500931944	yes	$1.4/hr * 3 nodes * 1.0hr =	4.2	3.6/hr * 3 nodes * 1.0 =	10.8	with -march=native compiler flag	shared	1846.526	5.583656573	16	34.89785358	HB120	yes
360	3	3x120	20x18	1520.29	1375.54	2895.83	0.402	no	$1.4/hr * 3 nodes * .804 =	3.38	3.6/hr * 3 nodes * .804 =	8.687	with -march=native compiler flag	shared	2445.399	6.954355055	20	34.77177528	HB120	no
360	3	3x120	20x18	1512.33	1349.54	2861.87	0.397	no	$1.4/hr * 3 nodes * .795 =	3.34	3.6/hr * 3 nodes * .795 =	8.586	with -march=native compiler flag	shared	1846.53	7.036877985	20	35.18438993	HB120	no
384	4	4x96	24x16	1612.54	283.36	NA	NA	yes	$1.4/hr * 4 nodes *  =	NA	3.6/hr * 4 nodes *  =	NA	with -march=native compiler flag	shared	1846.528	NA	NA	NA	HB120	yes
18	1	1x18	3x6	10571.2	9567.43	20138.63	2.8	no	$1.4/hr * 1 nodes * 5.59 hr =	7.83	$3.6/hr * 1 nodes * 5.59 hr =	20.12	without -march=native compiler flag	/data	1846.533	1	1	100	HB120	no
36	1	1x36	6x6	5933.48	5230.05	11163.53	1.55	no	$1.4/hr * 1 nodes * 3.1 hr =	4.34	$3.6/hr * 1 nodes * 3.1 hr =	11.2	without -march=native compiler flag	/data	1846.533	1.803966129	2	90.19830645	HB120	no
36	1	1x36	6x6	5841.81	5153.47	10995.28	1.52	no	$1.4/hr * 1 nodes * 3.0 hr =	4.26	$3.6/hr * 1 nodes * 3.0 hr =	10.8	without -march=native compiler flag	/mnt/resource/data2/	1846.533	1.831570456	2	91.57852278	HB120	no
120	1	1x120	10x12	2781.89	2465.87	5247.76	0.729	no	$1.4/hr * 1 nodes * 1.642 hr =	2.29	$3.6/hr * 1 nodes * 1.642 hr =	5.911	without -march=native compiler flag	/data	1846.533	3.837566886	6.666666667	57.56350329	HB120	no
