CPUs	Nodes	NodesxCPU	COLROW	Day1_Timing_sec	Day2_Timing_sec	TotalTime	CPU Hours/day	SBATCHexclusive	Equation using Spot Pricing	SpotCost	Equation using On Demand Pricing	OnDemandCost	compiler flag	InputData	cpuMhz	IdealScaling	Scaling	Efficiency	ComputeNode	MS_Opt_Pin
96	1	1x96	8x12	3278.9	3800.7	7079.6	0.983	no	$/hr * 1 nodes * 1.966 hr =	.708	$3.6/hr * 1 nodes * 1.966 hr =	7.077	without -march=native compiler flag	Beeond	3021.872	1	1	100	HB120rs_v3	no
192	2	2x96	16x12	2027.8	2241.6	4269.4	0.593	no	$.36/hr * 2 nodes * 1.186 hr =	.85	$3.6/hr * 2 nodes * 1.186 hr =	8.54	without -march=native compiler flag	Beeond	3021.872	2	1.66	82.9	HB120rs_v3	no
288	3	3x96	16x18	1562.7	1692.6	3255.3	0.452	no	$.36/hr * 3 nodes * .904 hr =	.98	$3.6/hr * 3 nodes * .904 hr =	9.76	without -march=native compiler flag	Beeond	3021.872	3	2.17	72.49	HB120rs_v3	no
384	4	4x96	16x24	1356.5	1474.2	2830.7	0.393	no	$.36/hr * 4 nodes * .786 hr = 	1.1	$3.6/hr * 4 nodes * .786 hr = 	11.3	without -march=native compiler flag	Beeond	3021.872	4	2.5	62.5	HB120rs_v3	no
96	1	1x96	12x8	3400.9	3437.9	6838.8	0.950 	no	$.36/hr * 1 nodes * 1.89 hr =	.68	$3.6/hr * 1 nodes * 1.89 hr =	6.804	without -march=native compiler flag	lustre	3021.872	1	1	100	HB120rs_v3	no
192	2	2x96	16x12	1954.6	1920.5	3875.1	.538	no	$.36/hr * 2 nodes * 1.89 hr =	.77	$3.6/hr * 2 nodes * 1.07 hr =	7.704	without -march=native compiler flag	lustre	3021.872	2	1.76	88.2	HB120rs_v3	 no
96	1	1x96	8x12	3729.2	4132.5	7861.7	1.09	no	$.36/hr * 1 nodes * 2.18 hr =	0.78	$3.6/hr * 1 nodes * 2.18 hr =	7.85	without -march=native compiler flag	shared	3021.872	1	1	100	HB120rs_v3	no     
192	2	2x96	16x12	2636.9	2843.7	5480.6	0.76	no	$.36/hr * 2 nodes * 1.52 hr =	1.09	$3.6/hr * 2 nodes * 1.52 hr =	10.9	without -march=native compiler flag	shared	3021.872  	2	1.43	71.7	HB120rs_v3	no
288	3	3x96	18x16	2224	2378.5	4602.5	0.64	no	$.36/hr * 3 nodes * 1.28 hr =	1.38	$3.6/hr * 3 nodes * 1.28 hr =	13.8	without -march=native compiler flag	shared	3021.872 	3	1.71	56.9	HB120rs_v3	no
384	4	4x96	16x24	2052.9	2161.9	4214.8	0.59	no	$.36/hr * 4 nodes * 1.17 hr =	1.68	$3.6/hr * 4 nodes * 1.17 hr = 	16.85	without -march=native compiler flag	shared	3021.872	4	1.87	62.2	HB120rs_v3	no
160	1	1x176	16x10	2062.9	2235.3	4298.2	0.60	no	$.41/hr * 1 node * 1.19 hr =  	0.49	$7.2/hr * 1 node * 1.19 hr = 	8.57	without -march=native compiler flag	Beeond	3149.387	1	1	100	HB176_v4	no
320	2	2x176	16x20	1644.4	1728.3	3372.7	0.47	no	$.41/hr * 2 node * 0.94 hr = 	0.77	$7.2/hr * 2 node * .94 hr =	13.51	without -march=native compiler flag	Beeond	3149.387	2	1.27	63.7	HB176_v4	no
