"","tmp.data","tmp.data","tmp.data","tmp.data","tmp.data","tmp.data","tmp.data"
"1",1197.393,1060.2229,1255.0593,1310.563,870.0693,717.0656,921.447
"2",27.7699,12.3593,26.7272,11.9679,27.3429,12.8008,9.604
"3",1302.4339,1051.174,1700.5559,1491.1684,1424.2368,1228.6729,1331.0041
"4",106.5851,51.548,107.2578,51.3851,113.101,55.6748,37.6364
"5",96.9541,54.8534,96.3845,55.9323,98.7957,54.47,43.9367
"6",16.7133,8.903,16.5451,9.0609,16.939,9.3016,6.6819
"7",382.7171,311.5957,264.8764,131.2219,204.056,136.788,94.8111
"8",133.333,70.0676,168.1972,589.5066,142.7688,118.1498,408.9004
"9",364.4352,174.1185,364.0229,171.8818,372.655,196.5941,135.4368
"10",386.5063,191.6835,385.4117,189.9412,399.0986,214.8985,149.4833
"11",35.154,44.7325,129.778,1476.3004,51.199,111.1993,1060.948
"12",1233.3051,1184.9416,957.784000000001,1233.4705,577.9379,517.0846,836.2103
