"","cmaq5.4plus_beeond_96","cmaq5.4plus_beeond_192","cmaq5.4plus_beeond_288","cmaq5.4plus_beeond_384"
"VDIFF",855.5895,614.7499,461.4932,409.774
"COUPLE",80.9765,30.6505,18.5186,13.1969
"HADV",2200.7312,1664.1975,1390.5855,1270.6184
"ZADV",258.2164,115.3103,74.7374,53.5222
"HDIFF",210.4202,139.1835,97.002,81.4269
"DECOUPLE",33.3306,19.178,13.1263,9.7144
"PHOT",403.6619,184.3464,128.1002,103.4605
"CLDPROC",253.5778,173.2516,122.9262,96.9323
"CHEM",803.0457,433.2722,287.8605,216.861
"AERO",968.8029,448.1124,303.8193,236.1669
"Data Output",135.0444,84.6282,77.0204,75.0559
"OTHER",829.9229,362.519499999999,280.1104,263.9706
